Section ID,Question Text
Case Entry,What's the location of the emergency?
Case Entry,Confirm/verify the address/location
Case Entry,What's the phone number you're calling from?
Case Entry,"Okay, tell me exactly what happened."
Case Entry,Fast Track assessment
Case Entry,Are you with the patient now?
Case Entry,How many (other) people are hurt/sick?
Case Entry,Is s/he breathing or coughing at all?
Case Entry,How old is the patient?
Case Entry,"Tell me approximately, then."
Case Entry,Is s/he awake (conscious)?
Case Entry,Is s/he breathing?
Case Entry,You go check and tell me what you find.
Case Entry,Awake and breathing asked separately?
Abdominal Pain / Problems,Is s/he completely alert (responding appropriately)?
Abdominal Pain / Problems,Has s/he ever been diagnosed with aortic aneurysm?
Abdominal Pain / Problems,Ask her/him to describe the pain.
Abdominal Pain / Problems,Did s/he faint (pass out) or nearly faint?
Abdominal Pain / Problems,Is her/his pain above the belly button (navel)?
Abdominal Pain / Problems,Were all Key Questions asked in order?
Allergies / Envenomations,Where is the snake now?
Allergies / Envenomations,Is s/he completely alert (responding appropriately)?
Allergies / Envenomations,Does s/he have difficulty breathing or swallowing?
Allergies / Envenomations,Does s/he have difficulty speaking?
Allergies / Envenomations,Has s/he ever had a severe allergic reaction before?
Allergies / Envenomations,Does s/he have any specific injections or meds for this?
Allergies / Envenomations,Have they been used?
Allergies / Envenomations,Tell him/her to use them now.
Allergies / Envenomations,Were all Key Questions asked in order?
Animal Bites/ Attacks,What kind of animal is it?
Animal Bites/ Attacks,Where is the animal now?
Animal Bites/ Attacks,Is there any SERIOUS bleeding (spurting or pouring)?
Animal Bites/ Attacks,Is s/he completely alert (responding appropriately)?
Animal Bites/ Attacks,What part of the body was injured/bitten?
Animal Bites/ Attacks,Is s/he having any difficulty breathing?
Animal Bites/ Attacks,What kind of injuries does s/he have?
Animal Bites/ Attacks,When did this happen?
Animal Bites/ Attacks,Were all Key Questions asked in order?
Assault / Sexual Assault / Stun Gun,Is the assailant (attacker) still nearby?
Assault / Sexual Assault / Stun Gun,Were weapons involved or mentioned?
Assault / Sexual Assault / Stun Gun,Is there any SERIOUS bleeding (Spurting or pouring)?
Assault / Sexual Assault / Stun Gun,Is s/he completely alert (responding appropriately)?
Assault / Sexual Assault / Stun Gun,What part of the body was injured?
Assault / Sexual Assault / Stun Gun,Does s/he have any other injuries?
Assault / Sexual Assault / Stun Gun,Is s/he having any difficulty breathing?
Assault / Sexual Assault / Stun Gun,Is it obviously bent out of shape?
Assault / Sexual Assault / Stun Gun,When did this happen?
Assault / Sexual Assault / Stun Gun,Were all Key Questions asked in order?
Back Pain (Non-Traumatic or Non-Recent Trauma,When did this start (happen)?
Back Pain (Non-Traumatic or Non-Recent Trauma,What caused the back pain?
Back Pain (Non-Traumatic or Non-Recent Trauma,Does s/he have difficulty breathing?
Back Pain (Non-Traumatic or Non-Recent Trauma,(F>45 M>35) Does s/he also have chest pain or chest discomfort?
Back Pain (Non-Traumatic or Non-Recent Trauma,Is s/he completley alert (responding appropriately)?
Back Pain (Non-Traumatic or Non-Recent Trauma,(>50) Has s/he ever been diagnosed with an aortic aneurysm?
Back Pain (Non-Traumatic or Non-Recent Trauma,(No) Ask her/him to describe the pain.
Back Pain (Non-Traumatic or Non-Recent Trauma,(>50) Did s/he faint (pass out) or nearly faint?
Back Pain (Non-Traumatic or Non-Recent Trauma,Were all Key Questions asked in order?
Breathing Problems,Is s/he completely alert (responding appropriately)?
Breathing Problems,(Yes) Does s/he have any difficulty speaking/crying between breaths?
Breathing Problems,(Not 1st party) Is s/he changing color?
Breathing Problems,(Yes) Describe the color change?
Breathing Problems,Is s/he clammy or having cold sweats?
Breathing Problems,Does s/he have asthma or other lung problems?
Breathing Problems,(Yes) Does s/he have a perscribed inhaler?
Breathing Problems,(Yes) Has s/he used it yet?
Breathing Problems,(Trach) Does s/he have any special equipment or instructions?
Breathing Problems,(Yes) Have they been used?
Breathing Problems,Were all Key Questions asked in order?
Burns (Scalds) / Explosion (Blast),(Suspected) Is anything still burning or smoldering?
Burns (Scalds) / Explosion (Blast),Is everyone safe and out of danger?
Burns (Scalds) / Explosion (Blast),How was s/he burned/injured?
Burns (Scalds) / Explosion (Blast),Is s/he completely alert (responding appropriately)?
Burns (Scalds) / Explosion (Blast),Is s/he having any difficulty breathing?
Burns (Scalds) / Explosion (Blast),Does s/he have any difficulty speaking/crying between breaths?
Burns (Scalds) / Explosion (Blast),What parts of the body were burned/injured?
Burns (Scalds) / Explosion (Blast),When did this happen?
Burns (Scalds) / Explosion (Blast),Were all Key Questions asked in order?
